Samples	SBS96A	SBS96B	SBS96C
TCGA-53-7626	2.16E+00	2.27E+00	1.19E+00
TCGA-53-7813	1.62E+00	1.72E+00	3.41E-01
TCGA-53-A4EZ	4.53E+00	4.60E+00	9.84E-01
TCGA-55-1592	3.78E+00	3.69E+00	1.47E+00
TCGA-55-1594	1.20E+00	1.34E+00	1.21E+00
TCGA-55-1595	3.21E+00	3.10E+00	7.17E-01
TCGA-55-1596	1.57E+00	1.61E+00	5.11E-01
TCGA-55-5899	3.20E+00	3.01E+00	1.51E+00
TCGA-55-6543	1.67E-01	2.85E-01	2.56E-01
TCGA-55-6642	1.26E+00	1.26E+00	5.20E-01
TCGA-55-6712	6.94E-01	1.05E+00	1.04E+00
TCGA-55-6968	2.14E+00	2.19E+00	1.99E+00
TCGA-55-6969	4.25E+00	4.36E+00	9.47E-01
TCGA-55-6970	1.82E+00	1.83E+00	5.80E-01
TCGA-55-6971	8.80E-01	9.15E-01	4.11E-01
TCGA-55-6972	1.94E+00	1.90E+00	1.41E+00
TCGA-55-6975	8.77E-01	8.27E-01	5.23E-01
TCGA-55-6978	5.19E-01	5.21E-01	0.00E+00
TCGA-55-6979	8.82E-01	0.00E+00	8.82E-01
TCGA-55-6980	3.71E-01	3.71E-01	3.00E-02
TCGA-55-6981	7.65E-01	7.53E-01	5.21E-01
TCGA-55-6982	7.93E-01	1.15E+00	1.34E+00
TCGA-55-6983	9.45E-01	9.12E-01	4.52E-01
TCGA-55-6984	5.05E-01	5.22E-01	2.22E-01
TCGA-55-6985	4.43E+00	4.42E+00	7.19E-01
TCGA-55-6986	3.56E-01	3.89E-01	2.67E-01
TCGA-55-6987	1.75E+00	1.63E+00	1.06E+00
TCGA-55-7227	1.35E+00	1.37E+00	4.90E-01
TCGA-55-7281	7.56E+00	7.58E+00	1.36E+00
TCGA-55-7283	2.24E+00	2.10E+00	2.08E+00
TCGA-55-7284	0.00E+00	5.15E-01	5.15E-01
TCGA-55-7570	5.23E+00	5.10E+00	1.85E+00
TCGA-55-7573	5.79E-01	5.76E-01	4.27E-01
TCGA-55-7574	3.04E+00	2.96E+00	1.99E+00
TCGA-55-7576	5.85E+00	5.59E+00	1.45E+00
TCGA-55-7724	1.38E+00	1.56E+00	1.02E+00
TCGA-55-7725	1.42E+00	1.46E+00	3.96E-01
TCGA-55-7726	4.90E-01	8.91E-01	9.02E-01
TCGA-55-7727	1.59E+00	1.77E+00	1.26E+00
TCGA-55-7728	8.61E-01	8.49E-01	3.81E-01
TCGA-55-7815	1.51E+00	1.55E+00	5.84E-01
TCGA-55-7816	0.00E+00	3.43E-02	3.43E-02
TCGA-55-7903	9.76E-01	9.35E-01	8.83E-01
TCGA-55-7907	9.52E+00	9.73E+00	1.94E+00
TCGA-55-7910	2.51E+00	2.45E+00	6.79E-01
TCGA-55-7911	1.94E+00	1.91E+00	8.19E-01
TCGA-55-7913	2.86E+00	2.86E+00	1.04E+00
TCGA-55-7914	1.29E+00	1.33E+00	6.59E-01
TCGA-55-7994	1.25E+01	1.29E+01	1.97E+00
TCGA-55-7995	5.32E+00	5.29E+00	1.52E+00
TCGA-55-8085	1.61E+00	1.58E+00	1.31E+00
TCGA-55-8087	2.58E-01	5.68E-01	5.26E-01
TCGA-55-8089	8.72E+00	8.66E+00	2.72E+00
TCGA-55-8090	9.36E-01	9.07E-01	3.76E-01
TCGA-55-8091	2.20E-01	2.88E-01	2.07E-01
TCGA-55-8092	3.37E+00	3.00E+00	1.83E+00
TCGA-55-8094	3.77E+00	3.80E+00	7.98E-01
TCGA-55-8096	1.57E+00	1.57E+00	6.69E-01
TCGA-55-8097	6.52E-01	7.83E-01	5.93E-01
TCGA-55-8203	4.26E+00	4.39E+00	7.21E-01
TCGA-55-8204	1.55E+00	1.50E+00	1.36E+00
