Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-78-7145	149	42	23	7	30	7
TCGA-78-7146	191	83	135	25	52	19
TCGA-78-7147	140	53	56	83	43	63
TCGA-78-7148	95	54	9	71	27	33
TCGA-78-7149	24	11	105	40	17	3
TCGA-78-7150	119	41	182	87	46	46
TCGA-78-7152	86	16	111	26	20	1
TCGA-78-7153	33	8	33	31	51	4
TCGA-78-7154	36	19	131	37	72	38
TCGA-78-7155	983	337	162	223	41	122
TCGA-78-7156	125	41	179	0	42	40
TCGA-78-7158	140	84	52	6	27	31
TCGA-78-7159	187	109	14	45	40	25
TCGA-78-7160	20	12	5	23	8	4
TCGA-78-7161	98	49	16	40	30	17
TCGA-78-7162	27	8	21	22	12	13
TCGA-78-7163	25	29	2	0	14	0
TCGA-78-7166	133	60	10	17	17	40
TCGA-78-7167	43	15	46	12	34	5
TCGA-78-7220	488	151	138	139	45	102
TCGA-78-7535	66	34	2	48	15	59
TCGA-78-7536	417	220	10	40	53	106
TCGA-78-7537	83	11	20	30	9	18
TCGA-78-7539	90	46	348	88	42	0
TCGA-78-7540	51	269	2	0	23	0
TCGA-78-7542	222	101	43	0	45	68
TCGA-78-7633	64	83	11	31	14	0
TCGA-78-8640	377	101	156	158	63	62
TCGA-78-8648	5	3	0	4	5	0
TCGA-78-8655	42	24	9	10	34	14
TCGA-78-8660	120	23	54	54	32	25
TCGA-78-8662	734	216	112	241	55	86
TCGA-80-5607	3	3	128	0	6	20
TCGA-80-5608	224	242	11	0	20	0
TCGA-80-5611	58	17	12	120	15	27
TCGA-83-5908	92	33	107	51	12	0
TCGA-86-6562	3	6	27	13	20	7
TCGA-86-6851	566	200	145	234	0	0
TCGA-86-7701	86	300	15	151	18	0
TCGA-86-7711	183	54	124	115	63	25
TCGA-86-7713	136	85	19	84	41	34
TCGA-86-7714	31	7	4	30	12	7
TCGA-86-7953	19	2	8	16	11	9
TCGA-86-7954	79	34	55	50	50	23
TCGA-86-7955	122	56	34	77	29	63
TCGA-86-8054	164	23	18	5	30	36
TCGA-86-8055	7	2	4	1	36	15
TCGA-86-8056	73	15	185	0	31	38
TCGA-86-8073	1094	382	130	121	53	77
TCGA-86-8074	14	5	4	3	17	36
TCGA-86-8075	0	1	6	17	32	6
TCGA-86-8076	3	10	26	16	27	2
TCGA-86-8278	0	0	119	0	21	5
TCGA-86-8279	361	108	22	91	34	23
TCGA-86-8280	6	2	4	25	16	2
TCGA-86-8281	98	70	47	84	39	0
TCGA-86-8358	792	212	51	164	98	64
TCGA-86-8359	112	23	13	2	26	25
TCGA-86-8585	307	92	140	159	16	0
TCGA-86-8668	5	0	4	0	28	10
TCGA-86-8669	57	15	15	41	36	6
TCGA-86-8671	7	0	13	5	16	6
TCGA-86-8672	139	67	53	28	44	47
TCGA-86-8673	272	84	57	131	19	44
TCGA-86-8674	208	72	47	0	20	39
TCGA-86-A456	201	84	41	67	24	37
TCGA-86-A4JF	13	144	151	687	607	52
TCGA-86-A4P7	7	0	29	30	19	0
TCGA-86-A4P8	0	0	0	2	0	0
TCGA-91-6828	359	123	69	48	65	38
TCGA-91-6829	315	131	65	251	20	41
TCGA-91-6830	11	38	250	47	0	0
TCGA-91-6831	136	37	17	127	29	0
TCGA-91-6835	30	9	22	35	14	6
TCGA-91-6836	311	163	36	83	51	11
TCGA-91-6840	12	35	92	18	21	0
TCGA-91-6847	8	22	19	19	48	6
TCGA-91-6848	292	133	122	210	11	17
TCGA-91-6849	68	32	10	21	10	16
TCGA-91-7771	72	26	25	62	14	52
TCGA-91-8496	0	2	5	13	22	0
TCGA-91-8497	14	3	5	0	23	11
TCGA-91-8499	114	43	119	63	38	20
TCGA-91-A4BC	338	85	31	41	51	17
TCGA-91-A4BD	0	0	3	3	15	6
TCGA-93-7347	60	26	14	35	11	0
TCGA-93-7348	76	25	35	28	62	45
TCGA-93-8067	36	30	551	0	36	22
TCGA-93-A4JN	9	8	15	13	30	23
TCGA-93-A4JO	2	2	15	37	10	0
TCGA-93-A4JP	16	2	28	0	20	17
TCGA-93-A4JQ	4	0	66	71	4	0
TCGA-95-7039	854	316	86	203	61	100
TCGA-95-7043	820	273	87	75	90	12
TCGA-95-7562	313	88	13	8	40	4
TCGA-95-7567	81	141	0	557	309	59
TCGA-95-7944	24	6	259	0	9	11
TCGA-95-7947	191	38	256	103	32	47
TCGA-95-7948	0	1	164	0	19	0
TCGA-95-8039	11	12	22	30	27	16
TCGA-95-8494	2	2	70	0	39	20
TCGA-95-A4VK	182	51	12	0	52	21
