Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-44-7671	82	66	246	30	93	29	36	0
TCGA-44-7672	158	27	170	26	0	0	18	10
TCGA-44-8117	425	176	66	39	78	84	51	13
TCGA-44-8119	342	89	60	18	86	88	65	27
TCGA-44-8120	268	150	107	27	130	25	26	19
TCGA-44-A479	220	56	0	23	0	47	24	10
TCGA-44-A47A	0	21	88	105	19	5	34	0
TCGA-44-A47B	10	3	0	2	4	7	26	9
TCGA-44-A47G	2	7	0	20	49	0	16	7
TCGA-44-A4SS	148	70	163	69	50	56	18	20
TCGA-44-A4SU	41	15	62	7	1	33	27	3
TCGA-49-4486	17	10	11	133	37	6	6	0
TCGA-49-4487	132	65	106	67	54	27	5	2
TCGA-49-4488	145	65	46	27	0	25	9	51
TCGA-49-4490	0	3	0	19	2	26	22	0
TCGA-49-4494	139	17	0	12	43	0	32	0
TCGA-49-4501	1	3	0	14	0	12	37	8
TCGA-49-4505	122	26	16	18	6	21	43	22
TCGA-49-4506	57	15	0	5	1	46	13	7
TCGA-49-4507	58	20	26	47	50	0	32	23
TCGA-49-4510	14	24	0	6	8	30	0	0
TCGA-49-4512	0	3	16	5	0	0	25	7
TCGA-49-4514	152	32	0	124	65	13	31	8
TCGA-49-6742	49	9	0	142	0	0	38	118
TCGA-49-6743	198	107	236	227	21	90	27	75
TCGA-49-6744	73	52	128	8	32	0	5	1
TCGA-49-6745	3	5	0	89	6	31	33	9
TCGA-49-6761	67	191	0	84	0	22	21	34
TCGA-49-6767	208	101	176	42	0	59	19	11
TCGA-49-AAQV	8	0	0	41	6	25	8	0
TCGA-49-AAR0	21	15	75	20	0	5	21	20
TCGA-49-AAR2	233	73	100	13	48	0	21	0
TCGA-49-AAR3	45	17	37	17	3	34	18	0
TCGA-49-AAR4	294	86	0	114	197	0	8	13
TCGA-49-AAR9	304	127	242	18	69	0	44	8
TCGA-49-AARE	690	290	222	105	125	156	35	54
TCGA-49-AARN	212	58	0	29	0	2	0	633
TCGA-49-AARO	487	123	0	38	57	29	0	4
TCGA-49-AARQ	413	140	0	95	182	10	26	27
TCGA-49-AARR	1	0	0	0	0	1	1	0
TCGA-4B-A93V	44	20	43	9	25	6	14	10
TCGA-50-5044	0	13	4	128	8	27	2	0
TCGA-50-5045	186	72	75	23	0	15	0	2
TCGA-50-5049	489	160	24	34	201	100	0	2
TCGA-50-5051	0	44	45	7	21	8	20	0
TCGA-50-5055	0	0	3	5	0	0	12	2
TCGA-50-5066	272	60	158	40	137	44	21	74
TCGA-50-5068	33	5	32	8	1	9	30	2
TCGA-50-5072	79	20	0	18	42	13	14	22
TCGA-50-5930	607	305	418	24	0	42	21	28
TCGA-50-5931	148	53	0	24	71	75	14	0
TCGA-50-5932	41	13	0	0	33	0	5	0
TCGA-50-5933	238	79	134	47	93	0	57	21
TCGA-50-5935	0	0	0	62	29	13	14	6
TCGA-50-5936	17	6	25	64	0	1	13	20
TCGA-50-5939	9	1	0	20	19	16	15	25
TCGA-50-5941	115	82	149	39	79	23	16	3
TCGA-50-5942	6	8	23	0	19	0	11	6
TCGA-50-5944	5	3	0	9	31	10	27	0
TCGA-50-5946	375	246	473	361	0	139	80	2
TCGA-50-6590	376	149	236	222	48	93	0	0
TCGA-50-6591	0	5	0	3	37	0	17	8
TCGA-50-6592	46	28	100	62	74	21	13	20
TCGA-50-6593	101	64	57	10	63	66	8	21
TCGA-50-6594	266	104	90	55	75	43	7	7
TCGA-50-6595	0	8	0	28	62	3	14	8
TCGA-50-6597	0	0	0	23	15	0	25	16
TCGA-50-6673	0	56	0	5	10	15	22	3
TCGA-50-7109	109	47	33	5	74	22	29	1
TCGA-50-8457	8	7	0	6	31	3	11	1
TCGA-50-8459	0	22	70	4	0	0	19	4
TCGA-50-8460	0	3	0	4	9	2	11	7
TCGA-53-7624	210	160	366	172	19	33	37	32
TCGA-53-7626	443	1023	0	38	0	3	0	0
TCGA-53-7813	28	27	109	0	0	5	17	1
TCGA-53-A4EZ	276	122	0	27	187	20	31	14
TCGA-55-1592	136	68	31	60	217	143	13	32
