Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-78-7536	6.75E+00	3.15E+00	7.47E+00	6.67E-01	3.76E+00	3.07E+00	1.21E+00	1.84E+00
TCGA-78-7537	2.53E+00	5.16E-01	2.67E+00	6.61E-01	1.68E+00	1.04E+00	4.76E-01	5.85E-01
TCGA-78-7539	2.72E+00	9.41E-01	2.92E+00	3.28E+00	3.09E+00	1.94E+00	1.21E+00	2.02E+00
TCGA-78-7540	3.24E+00	3.36E+00	2.24E-01	2.12E-01	7.25E-02	1.63E-01	6.55E-01	4.98E-02
TCGA-78-7542	4.10E+00	1.80E+00	4.43E+00	1.24E+00	2.92E+00	2.10E+00	1.24E+00	1.49E+00
TCGA-78-7633	1.74E+00	1.26E+00	1.83E+00	4.38E-01	1.89E+00	1.36E+00	7.37E-01	2.69E-01
TCGA-78-8640	6.41E+00	1.94E+00	6.44E+00	2.05E+00	4.68E+00	3.28E+00	1.31E+00	1.97E+00
TCGA-78-8648	3.47E-01	1.93E-01	4.12E-01	0.00E+00	2.71E-01	2.06E-01	3.16E-01	1.92E-01
TCGA-78-8655	1.42E+00	6.56E-01	1.36E+00	4.23E-01	1.25E+00	1.05E+00	7.03E-01	6.37E-01
TCGA-78-8660	2.58E+00	8.38E-01	2.90E+00	1.03E+00	2.58E+00	1.63E+00	1.08E+00	1.15E+00
TCGA-78-8662	1.14E+01	2.96E+00	1.18E+01	1.82E+00	6.55E+00	4.01E+00	1.66E+00	1.87E+00
TCGA-80-5607	4.39E-01	1.93E-01	6.66E-01	1.65E+00	1.55E+00	8.60E-01	6.03E-01	1.06E+00
TCGA-80-5608	3.93E+00	3.53E+00	3.17E+00	4.98E-01	1.46E+00	5.71E-01	7.36E-01	8.00E-02
TCGA-80-5611	2.18E+00	7.60E-01	2.52E+00	6.81E-01	2.59E+00	2.23E+00	8.35E-01	9.30E-01
TCGA-83-5908	2.25E+00	7.49E-01	2.47E+00	1.28E+00	1.90E+00	1.48E+00	7.70E-01	6.27E-01
TCGA-86-6562	4.07E-01	2.61E-01	6.95E-01	5.68E-01	7.74E-01	6.87E-01	5.99E-01	5.61E-01
TCGA-86-6851	9.67E+00	2.50E+00	9.42E+00	1.75E+00	5.50E+00	4.06E+00	6.42E-01	5.81E-01
TCGA-86-7701	3.49E+00	2.73E+00	4.51E+00	4.05E-01	3.85E+00	1.93E+00	9.10E-01	9.62E-01
TCGA-86-7711	4.08E+00	1.11E+00	4.97E+00	1.32E+00	4.15E+00	3.15E+00	1.45E+00	1.47E+00
TCGA-86-7713	4.02E+00	1.31E+00	4.45E+00	7.14E-01	3.82E+00	1.95E+00	1.25E+00	1.26E+00
TCGA-86-7714	1.54E+00	3.70E-01	1.57E+00	2.93E-01	1.24E+00	8.82E-01	6.10E-01	2.60E-01
TCGA-86-7953	7.26E-01	1.63E-01	1.08E+00	3.77E-01	9.85E-01	9.09E-01	5.21E-01	6.06E-01
TCGA-86-7954	2.43E+00	8.05E-01	2.51E+00	1.06E+00	2.40E+00	1.47E+00	9.94E-01	8.71E-01
TCGA-86-7955	3.09E+00	1.19E+00	3.39E+00	8.69E-01	2.80E+00	1.94E+00	9.55E-01	1.50E+00
TCGA-86-8054	2.98E+00	7.71E-01	2.92E+00	6.32E-01	1.88E+00	1.36E+00	8.08E-01	9.62E-01
TCGA-86-8055	4.39E-01	1.77E-01	7.96E-01	2.50E-01	7.51E-01	7.45E-01	7.60E-01	6.44E-01
TCGA-86-8056	2.47E+00	5.05E-01	2.30E+00	2.16E+00	2.65E+00	9.18E-01	9.95E-01	1.52E+00
TCGA-86-8073	1.54E+01	5.02E+00	1.70E+01	2.03E+00	7.89E+00	4.21E+00	1.79E+00	1.65E+00
TCGA-86-8074	6.36E-01	3.13E-01	8.77E-01	3.67E-01	1.03E+00	8.28E-01	6.46E-01	8.39E-01
TCGA-86-8075	2.24E-01	9.31E-02	6.38E-01	3.60E-01	6.88E-01	1.09E+00	7.10E-01	6.06E-01
TCGA-86-8076	4.05E-01	3.91E-01	7.46E-01	5.49E-01	9.56E-01	6.87E-01	6.12E-01	5.33E-01
TCGA-86-8278	1.46E-01	8.59E-02	4.10E-01	1.11E+00	8.82E-01	7.00E-01	7.21E-01	8.69E-01
TCGA-86-8279	5.17E+00	2.10E+00	5.85E+00	9.56E-01	3.11E+00	2.79E+00	1.16E+00	1.32E+00
TCGA-86-8280	3.25E-01	1.99E-01	8.41E-01	3.45E-01	1.06E+00	8.30E-01	6.51E-01	2.39E-01
TCGA-86-8281	2.30E+00	1.06E+00	2.76E+00	8.42E-01	2.32E+00	1.96E+00	1.32E+00	5.66E-01
TCGA-86-8358	1.16E+01	2.75E+00	1.22E+01	1.35E+00	6.50E+00	3.72E+00	1.77E+00	1.77E+00
TCGA-86-8359	2.91E+00	7.83E-01	2.67E+00	5.68E-01	1.74E+00	7.06E-01	7.84E-01	8.44E-01
TCGA-86-8585	5.08E+00	1.59E+00	5.45E+00	1.80E+00	4.41E+00	2.69E+00	1.07E+00	1.22E+00
TCGA-86-8668	3.57E-01	0.00E+00	5.85E-01	2.49E-01	6.18E-01	6.99E-01	5.36E-01	6.48E-01
TCGA-86-8669	1.50E+00	5.02E-01	1.83E+00	5.50E-01	1.58E+00	1.15E+00	9.19E-01	6.55E-01
TCGA-86-8671	2.12E-01	0.00E+00	4.11E-01	4.58E-01	6.40E-01	6.27E-01	4.83E-01	3.95E-01
TCGA-86-8672	2.67E+00	1.14E+00	3.01E+00	1.15E+00	2.74E+00	1.74E+00	1.20E+00	1.44E+00
TCGA-86-8673	4.71E+00	1.56E+00	5.11E+00	1.14E+00	3.68E+00	3.06E+00	1.09E+00	1.20E+00
TCGA-86-8674	3.51E+00	1.40E+00	3.62E+00	9.22E-01	2.43E+00	1.59E+00	7.88E-01	1.10E+00
TCGA-86-A456	4.25E+00	1.34E+00	4.22E+00	1.05E+00	3.16E+00	2.11E+00	9.03E-01	6.55E-01
TCGA-86-A4JF	5.58E+00	2.33E+00	8.11E+00	2.32E+00	6.66E+00	1.26E+01	9.49E+00	4.11E+00
TCGA-86-A4P7	5.15E-01	0.00E+00	1.03E+00	5.34E-01	9.85E-01	8.74E-01	7.19E-01	1.09E-01
TCGA-86-A4P8	2.97E-02	0.00E+00	8.47E-02	0.00E+00	9.47E-02	7.30E-02	0.00E+00	7.26E-02
TCGA-91-6828	6.07E+00	2.06E+00	6.76E+00	1.25E+00	5.16E+00	2.94E+00	1.62E+00	1.33E+00
TCGA-91-6829	5.82E+00	1.81E+00	5.03E+00	1.17E+00	4.17E+00	3.51E+00	1.10E+00	1.35E+00
TCGA-91-6830	1.11E+00	7.84E-01	1.54E+00	2.69E+00	2.55E+00	1.20E+00	5.00E-01	1.69E+00
TCGA-91-6831	2.79E+00	9.66E-01	2.93E+00	7.11E-01	2.72E+00	2.00E+00	1.22E+00	6.30E-01
TCGA-91-6835	1.11E+00	3.79E-01	1.36E+00	4.92E-01	1.04E+00	9.86E-01	5.19E-01	7.20E-01
TCGA-91-6836	5.40E+00	2.33E+00	6.02E+00	9.48E-01	3.51E+00	2.03E+00	1.32E+00	6.04E-01
TCGA-91-6840	8.70E-01	6.60E-01	8.89E-01	1.00E+00	9.97E-01	8.11E-01	7.42E-01	5.47E-01
TCGA-91-6847	6.64E-01	5.59E-01	1.08E+00	5.15E-01	1.37E+00	1.06E+00	9.24E-01	6.33E-01
TCGA-91-6848	4.99E+00	2.11E+00	5.68E+00	1.37E+00	4.82E+00	4.08E+00	9.72E-01	1.48E+00
TCGA-91-6849	1.78E+00	6.61E-01	1.95E+00	5.90E-01	1.60E+00	8.72E-01	4.96E-01	4.41E-01
TCGA-91-7771	2.14E+00	7.06E-01	2.48E+00	9.00E-01	2.06E+00	1.62E+00	6.26E-01	1.23E+00
TCGA-91-8496	1.53E-01	1.63E-01	5.55E-01	2.76E-01	4.83E-01	6.30E-01	6.22E-01	1.56E-01
TCGA-91-8497	4.99E-01	2.74E-01	5.94E-01	3.56E-01	9.81E-01	4.90E-01	7.05E-01	5.42E-01
TCGA-91-8499	2.69E+00	1.13E+00	2.79E+00	1.39E+00	2.74E+00	1.81E+00	1.13E+00	1.10E+00
TCGA-91-A4BC	5.68E+00	2.02E+00	6.17E+00	8.23E-01	3.60E+00	1.66E+00	1.07E+00	8.48E-01
TCGA-91-A4BD	1.09E-01	0.00E+00	3.43E-01	2.07E-01	3.88E-01	5.71E-01	5.56E-01	2.44E-01
TCGA-93-7347	1.82E+00	7.25E-01	1.96E+00	4.19E-01	1.46E+00	1.08E+00	6.67E-01	3.77E-01
TCGA-93-7348	2.84E+00	8.53E-01	2.90E+00	9.52E-01	2.22E+00	2.08E+00	1.44E+00	1.05E+00
TCGA-93-8067	1.95E+00	8.29E-01	1.64E+00	4.98E+00	4.66E+00	1.26E+00	1.28E+00	4.01E+00
TCGA-93-A4JN	6.49E-01	3.43E-01	1.11E+00	5.29E-01	1.11E+00	9.21E-01	8.55E-01	7.39E-01
TCGA-93-A4JO	3.74E-01	1.38E-01	8.14E-01	5.67E-01	8.40E-01	9.17E-01	5.60E-01	5.39E-01
TCGA-93-A4JP	8.46E-01	8.76E-02	9.86E-01	6.97E-01	8.62E-01	9.46E-01	6.62E-01	3.58E-01
TCGA-93-A4JQ	4.56E-01	2.43E-02	1.48E+00	8.79E-01	1.87E+00	1.61E+00	5.91E-01	9.80E-01
TCGA-95-7039	1.21E+01	4.22E+00	1.31E+01	1.59E+00	6.34E+00	3.84E+00	1.57E+00	2.20E+00
TCGA-95-7043	1.30E+01	3.65E+00	1.37E+01	1.52E+00	7.68E+00	2.75E+00	1.50E+00	8.62E-01
TCGA-95-7562	5.60E+00	1.98E+00	5.66E+00	6.63E-01	3.14E+00	1.20E+00	9.92E-01	3.85E-01
