Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-44-7671	133	70	276	34	30	39	0
TCGA-44-7672	236	32	73	28	6	21	13
TCGA-44-8117	462	195	49	45	108	58	15
TCGA-44-8119	373	104	58	24	110	74	32
TCGA-44-8120	311	162	151	34	33	32	29
TCGA-44-A479	216	67	0	24	36	27	10
TCGA-44-A47A	12	21	96	105	5	33	0
TCGA-44-A47B	11	4	0	2	3	30	11
TCGA-44-A47G	0	7	45	22	0	18	9
TCGA-44-A4SS	208	76	98	74	96	20	22
TCGA-44-A4SU	76	16	1	7	51	32	6
TCGA-49-4486	16	10	43	137	8	6	0
TCGA-49-4487	159	71	110	72	40	6	0
TCGA-49-4488	170	71	0	28	31	11	57
TCGA-49-4490	0	3	0	19	26	24	0
TCGA-49-4494	140	23	29	16	0	35	0
TCGA-49-4501	0	3	0	14	5	42	11
TCGA-49-4505	136	30	0	19	16	47	26
TCGA-49-4506	54	18	0	5	43	16	8
TCGA-49-4507	65	22	61	50	0	34	24
TCGA-49-4510	13	25	1	7	35	1	0
TCGA-49-4512	2	4	12	5	0	26	7
TCGA-49-4514	161	38	30	131	18	35	12
TCGA-49-6742	42	12	0	141	0	38	123
TCGA-49-6743	308	114	49	234	155	31	90
TCGA-49-6744	117	55	106	10	0	7	4
TCGA-49-6745	1	6	0	91	29	37	12
TCGA-49-6761	58	197	0	86	14	24	40
TCGA-49-6767	286	110	42	45	97	23	13
TCGA-49-AAQV	8	0	1	42	27	10	0
TCGA-49-AAR0	49	16	35	20	12	23	22
TCGA-49-AAR2	265	83	100	17	0	23	0
TCGA-49-AAR3	54	19	22	17	39	20	0
TCGA-49-AAR4	283	98	178	124	0	10	19
TCGA-49-AAR9	401	140	184	23	0	51	13
TCGA-49-AARE	805	320	116	115	207	46	68
TCGA-49-AARN	185	69	0	19	0	0	661
TCGA-49-AARO	507	145	2	44	34	1	5
TCGA-49-AARQ	426	158	128	106	3	33	39
TCGA-49-AARR	1	0	0	0	1	1	0
TCGA-4B-A93V	61	21	40	10	11	15	13
TCGA-50-5044	1	14	0	129	35	3	0
TCGA-50-5045	228	80	0	25	37	0	3
TCGA-50-5049	484	183	175	44	119	0	5
TCGA-50-5051	8	44	53	8	10	22	0
TCGA-50-5055	1	0	0	5	0	14	2
TCGA-50-5066	350	70	130	48	92	26	90
TCGA-50-5068	49	6	2	9	20	32	2
TCGA-50-5072	83	23	25	20	11	17	29
TCGA-50-5930	775	333	152	30	106	22	27
TCGA-50-5931	146	60	50	28	83	18	0
TCGA-50-5932	39	15	30	2	0	6	0
TCGA-50-5933	283	89	157	53	0	62	25
TCGA-50-5935	0	0	24	63	14	16	7
TCGA-50-5936	29	6	3	68	3	14	23
TCGA-50-5939	13	2	2	21	17	18	32
TCGA-50-5941	165	87	142	44	46	18	4
TCGA-50-5942	10	8	35	0	0	12	8
TCGA-50-5944	4	3	28	11	8	31	0
TCGA-50-5946	589	262	97	376	262	90	0
TCGA-50-6590	451	166	138	229	140	0	0
TCGA-50-6591	0	5	34	4	0	18	9
TCGA-50-6592	67	30	138	65	26	15	23
TCGA-50-6593	112	68	94	12	66	12	26
TCGA-50-6594	304	115	89	61	59	10	9
TCGA-50-6595	0	7	53	31	2	17	13
TCGA-50-6597	0	0	10	23	0	27	19
TCGA-50-6673	0	55	0	6	21	25	4
TCGA-50-7109	120	51	74	9	28	33	5
TCGA-50-8457	4	8	31	7	3	12	2
TCGA-50-8459	23	22	41	4	1	22	6
TCGA-50-8460	0	3	6	4	0	14	9
TCGA-53-7624	334	169	202	178	72	39	35
TCGA-53-7626	384	1081	0	42	0	0	0
TCGA-53-7813	70	28	43	1	23	19	3
TCGA-53-A4EZ	277	135	145	36	21	38	25
TCGA-55-1592	124	75	218	68	149	22	44
TCGA-55-1594	43	12	47	86	10	34	6
TCGA-55-1595	197	67	70	15	40	22	15
TCGA-55-1596	35	27	62	8	82	11	9
TCGA-55-5899	210	81	34	127	36	28	36
TCGA-55-6543	0	1	0	3	3	19	0
TCGA-55-6642	80	42	14	7	2	16	11
TCGA-55-6712	33	10	0	112	25	26	0
TCGA-55-6968	106	37	23	472	32	1	0
TCGA-55-6969	198	143	152	17	49	0	46
TCGA-55-6970	110	29	19	12	28	12	12
TCGA-55-6971	26	223	0	4	23	6	15
TCGA-55-6972	99	35	0	135	0	18	83
TCGA-55-6975	34	12	4	13	15	20	9
TCGA-55-6978	5	49	0	0	5	15	5
TCGA-55-6979	92	633	0	46	0	0	0
TCGA-55-6980	0	24	8	0	2	4	0
TCGA-55-6981	0	268	0	3	0	26	3
TCGA-55-6982	4	26	0	232	30	11	1
TCGA-55-6983	7	32	56	6	15	20	4
TCGA-55-6984	0	28	11	2	0	7	2
TCGA-55-6985	300	110	107	14	64	22	0
TCGA-55-6986	0	7	15	2	0	9	0
TCGA-55-6987	116	39	0	92	34	10	0
TCGA-55-7227	63	30	52	10	9	25	19
TCGA-55-7281	254	244	501	92	0	34	40
TCGA-55-7283	104	68	127	130	0	146	21
TCGA-55-7284	0	0	4	0	0	45	8
TCGA-55-7570	280	85	242	215	124	18	0
TCGA-55-7573	8	6	26	8	5	3	9
TCGA-55-7574	73	46	230	298	14	0	0
TCGA-55-7576	289	165	255	49	97	108	59
TCGA-55-7724	34	22	50	43	91	35	10
TCGA-55-7725	63	23	25	2	21	12	10
TCGA-55-7726	11	5	0	88	4	34	0
