Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-86-6851	7.33E+00	2.07E+00	7.35E+00	1.65E+00	4.27E+00	8.02E-01	4.41E-01
TCGA-86-7701	3.35E+00	2.38E+00	4.33E+00	4.00E-01	2.47E+00	9.84E-01	1.12E+00
TCGA-86-7711	3.91E+00	1.06E+00	5.11E+00	1.27E+00	3.55E+00	1.58E+00	1.83E+00
TCGA-86-7713	3.81E+00	1.24E+00	4.46E+00	8.02E-01	2.42E+00	1.29E+00	1.54E+00
TCGA-86-7714	1.39E+00	3.47E-01	1.56E+00	3.09E-01	1.16E+00	6.54E-01	4.57E-01
TCGA-86-7953	8.04E-01	1.74E-01	1.08E+00	3.98E-01	1.04E+00	5.54E-01	6.84E-01
TCGA-86-7954	2.24E+00	7.84E-01	2.63E+00	9.59E-01	1.78E+00	1.10E+00	1.18E+00
TCGA-86-7955	2.98E+00	1.00E+00	3.39E+00	9.78E-01	2.14E+00	1.01E+00	1.75E+00
TCGA-86-8054	2.17E+00	6.98E-01	2.16E+00	6.82E-01	1.49E+00	9.01E-01	1.08E+00
TCGA-86-8055	4.96E-01	1.73E-01	8.57E-01	2.66E-01	7.89E-01	7.72E-01	7.15E-01
TCGA-86-8056	1.81E+00	5.07E-01	2.10E+00	1.78E+00	1.05E+00	9.93E-01	1.44E+00
TCGA-86-8073	1.14E+01	3.19E+00	1.17E+01	1.82E+00	4.92E+00	1.71E+00	1.97E+00
TCGA-86-8074	6.49E-01	3.13E-01	9.78E-01	3.82E-01	8.02E-01	6.81E-01	9.03E-01
TCGA-86-8075	2.77E-01	1.05E-01	8.14E-01	3.62E-01	1.09E+00	7.54E-01	6.57E-01
TCGA-86-8076	5.83E-01	3.77E-01	1.03E+00	5.78E-01	6.70E-01	6.53E-01	6.77E-01
TCGA-86-8278	1.47E-01	8.92E-02	5.20E-01	9.65E-01	7.06E-01	7.84E-01	8.69E-01
TCGA-86-8279	3.92E+00	1.62E+00	4.13E+00	9.12E-01	2.90E+00	1.24E+00	1.83E+00
TCGA-86-8280	4.94E-01	2.15E-01	1.10E+00	3.64E-01	7.63E-01	7.36E-01	3.65E-01
TCGA-86-8281	2.10E+00	1.04E+00	2.56E+00	7.80E-01	2.11E+00	1.39E+00	6.47E-01
TCGA-86-8358	9.12E+00	1.83E+00	9.57E+00	1.39E+00	4.67E+00	1.85E+00	2.05E+00
TCGA-86-8359	1.96E+00	7.19E-01	1.88E+00	5.61E-01	1.07E+00	7.90E-01	8.89E-01
TCGA-86-8585	4.98E+00	1.26E+00	5.16E+00	1.58E+00	3.15E+00	1.09E+00	1.29E+00
TCGA-86-8668	3.58E-01	0.00E+00	7.38E-01	2.58E-01	7.40E-01	5.44E-01	6.44E-01
TCGA-86-8669	1.47E+00	5.07E-01	1.71E+00	5.75E-01	1.36E+00	9.70E-01	6.90E-01
TCGA-86-8671	2.74E-01	0.00E+00	6.96E-01	4.32E-01	6.18E-01	5.50E-01	3.92E-01
TCGA-86-8672	2.73E+00	1.01E+00	3.16E+00	1.15E+00	1.70E+00	1.19E+00	1.76E+00
TCGA-86-8673	4.40E+00	1.32E+00	4.01E+00	1.18E+00	3.00E+00	1.22E+00	1.59E+00
TCGA-86-8674	2.85E+00	1.08E+00	3.09E+00	9.03E-01	1.81E+00	8.35E-01	1.41E+00
TCGA-86-A456	3.05E+00	1.22E+00	3.80E+00	9.08E-01	2.27E+00	9.69E-01	9.85E-01
TCGA-86-A4JF	5.90E+00	1.88E+00	9.43E+00	2.31E+00	1.62E+01	1.05E+01	8.19E+00
TCGA-86-A4P7	6.29E-01	0.00E+00	1.07E+00	5.79E-01	9.21E-01	7.32E-01	2.79E-01
TCGA-86-A4P8	5.69E-02	0.00E+00	9.75E-02	0.00E+00	8.90E-02	0.00E+00	7.77E-02
TCGA-91-6828	5.50E+00	1.62E+00	5.98E+00	1.35E+00	3.77E+00	1.54E+00	1.57E+00
TCGA-91-6829	4.93E+00	1.54E+00	4.62E+00	1.14E+00	3.32E+00	1.28E+00	1.69E+00
TCGA-91-6830	1.26E+00	7.29E-01	1.57E+00	1.50E+00	1.35E+00	5.76E-01	1.53E+00
TCGA-91-6831	2.64E+00	7.20E-01	3.06E+00	7.04E-01	1.98E+00	1.34E+00	8.73E-01
TCGA-91-6835	1.12E+00	3.84E-01	1.45E+00	4.48E-01	1.09E+00	5.57E-01	9.21E-01
TCGA-91-6836	4.95E+00	1.61E+00	4.95E+00	8.81E-01	2.70E+00	1.42E+00	8.25E-01
TCGA-91-6840	8.20E-01	6.38E-01	1.01E+00	9.70E-01	7.65E-01	7.58E-01	5.20E-01
TCGA-91-6847	7.24E-01	5.09E-01	1.33E+00	5.15E-01	1.04E+00	8.28E-01	7.60E-01
TCGA-91-6848	5.18E+00	1.55E+00	5.67E+00	1.24E+00	4.43E+00	1.15E+00	2.02E+00
TCGA-91-6849	1.65E+00	6.26E-01	1.72E+00	6.11E-01	1.04E+00	5.59E-01	6.83E-01
TCGA-91-7771	2.26E+00	6.98E-01	2.24E+00	9.25E-01	1.74E+00	7.01E-01	1.36E+00
TCGA-91-8496	2.11E-01	1.70E-01	4.90E-01	2.70E-01	6.97E-01	6.66E-01	2.23E-01
TCGA-91-8497	5.16E-01	2.87E-01	8.89E-01	3.67E-01	6.09E-01	7.27E-01	6.14E-01
TCGA-91-8499	2.17E+00	1.07E+00	2.73E+00	1.10E+00	1.80E+00	1.19E+00	1.12E+00
TCGA-91-A4BC	4.34E+00	1.55E+00	4.63E+00	7.53E-01	2.15E+00	1.15E+00	9.10E-01
TCGA-91-A4BD	1.79E-01	0.00E+00	4.07E-01	1.93E-01	5.57E-01	5.76E-01	3.91E-01
TCGA-93-7347	1.66E+00	6.30E-01	1.68E+00	4.45E-01	1.21E+00	7.10E-01	5.41E-01
TCGA-93-7348	2.30E+00	7.88E-01	2.49E+00	8.46E-01	2.20E+00	1.36E+00	1.30E+00
TCGA-93-8067	1.95E+00	7.97E-01	2.07E+00	3.81E+00	1.37E+00	1.21E+00	4.12E+00
TCGA-93-A4JN	7.19E-01	3.31E-01	1.16E+00	5.46E-01	1.12E+00	8.58E-01	8.11E-01
TCGA-93-A4JO	4.97E-01	1.48E-01	8.40E-01	5.36E-01	1.01E+00	5.78E-01	6.00E-01
TCGA-93-A4JP	8.84E-01	1.37E-01	9.64E-01	6.76E-01	1.04E+00	6.32E-01	4.54E-01
TCGA-93-A4JQ	5.28E-01	3.83E-02	1.84E+00	8.27E-01	1.94E+00	6.25E-01	1.14E+00
TCGA-95-7039	8.54E+00	3.07E+00	8.51E+00	1.50E+00	4.94E+00	1.67E+00	2.54E+00
