NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
74	170.253	62.488	25.913	48.073	0.439	0.784	30000.0
75	170.397	62.708	26.023	48.329	0.441	0.78	60000.0
76	170.309	62.505	25.97	48.183	0.443	0.782	100000.0
77	170.543	62.603	25.979	48.116	0.44	0.785	60000.0
78	171.246	62.297	26.129	48.18	0.435	0.785	110000.0
79	170.498	62.605	25.968	48.202	0.436	0.782	90000.0
80	170.118	62.336	25.895	48.032	0.437	0.782	80000.0
81	171.364	62.859	26.258	48.276	0.443	0.783	60000.0
82	170.605	62.567	26.211	48.214	0.442	0.782	60000.0
83	171.112	62.469	25.856	47.954	0.434	0.786	40000.0
84	171.857	62.918	26.193	48.347	0.44	0.781	90000.0
85	170.958	62.707	26.216	48.461	0.441	0.781	40000.0
86	171.268	62.689	26.297	48.423	0.438	0.783	60000.0
87	170.217	62.605	25.989	48.247	0.441	0.782	50000.0
88	171.007	62.527	26.121	48.105	0.439	0.785	40000.0
89	170.189	62.577	26.004	48.269	0.44	0.782	50000.0
90	171.731	62.905	26.182	48.368	0.443	0.781	80000.0
91	172.222	62.812	26.395	48.406	0.44	0.782	40000.0
92	170.712	62.598	26.06	48.199	0.436	0.783	80000.0
93	170.266	62.59	26.04	48.422	0.44	0.78	60000.0
94	170.537	62.506	26.076	48.175	0.435	0.785	60000.0
95	171.608	62.873	26.31	48.452	0.44	0.781	60000.0
96	171.415	62.827	26.086	48.295	0.437	0.783	80000.0
97	171.09	63.065	26.073	48.411	0.443	0.781	60000.0
98	170.788	62.364	26.047	48.165	0.435	0.785	70000.0
99	170.607	62.679	26.092	48.282	0.442	0.782	40000.0
100	170.514	62.552	25.984	48.163	0.436	0.785	40000.0
