Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-62-8397	7	1	2	17	5
TCGA-62-8398	38	11	12	29	14
TCGA-62-8399	230	72	275	69	16
TCGA-62-8402	10	0	7	43	14
TCGA-62-A46O	544	180	189	75	107
TCGA-62-A46P	214	73	10	57	0
TCGA-62-A46R	66	25	34	48	36
TCGA-62-A46S	41	28	17	48	26
TCGA-62-A46U	15	1	9	27	0
TCGA-62-A46V	8	2	7	38	16
TCGA-62-A46Y	13	0	2	24	1
TCGA-62-A470	54	13	15	59	6
TCGA-62-A471	0	6	78	23	41
TCGA-62-A472	15	8	6	20	23
TCGA-64-1676	481	142	30	59	30
TCGA-64-1677	71	21	110	38	27
TCGA-64-1679	454	89	68	25	0
TCGA-64-1680	13	0	32	33	0
TCGA-64-1681	8	1	32	12	53
TCGA-64-5774	90	35	8	35	8
TCGA-64-5775	338	135	33	64	22
TCGA-64-5778	367	95	51	43	28
TCGA-64-5779	223	107	18	59	31
TCGA-64-5781	817	229	200	67	104
TCGA-64-5815	127	35	9	40	3
TCGA-67-3770	144	47	9	29	44
TCGA-67-3771	456	170	408	75	228
TCGA-67-3772	15	0	7	44	13
TCGA-67-3773	61	22	5	25	15
TCGA-67-3774	74	14	11	17	35
TCGA-67-4679	243	48	19	35	20
TCGA-67-6215	0	1	0	0	136
TCGA-67-6216	1	4	17	17	8
TCGA-67-6217	104	45	16	42	32
TCGA-69-7760	19	1	8	35	25
TCGA-69-7761	14	1	2	9	10
TCGA-69-7763	16	14	3	57	12
TCGA-69-7764	48	5	9	31	24
TCGA-69-7765	421	145	90	19	80
TCGA-69-7973	174	74	20	43	0
TCGA-69-7974	348	123	46	74	55
TCGA-69-7978	369	104	247	43	10
TCGA-69-7979	1173	399	130	106	0
TCGA-69-7980	476	151	230	50	70
TCGA-69-8253	112	24	38	26	10
TCGA-69-8254	32	5	2	33	25
TCGA-69-8255	121	45	52	48	101
TCGA-69-A59K	370	126	60	81	0
TCGA-71-6725	8	7	9	56	1
TCGA-71-8520	19	6	24	55	1
TCGA-73-4658	131	49	183	49	37
TCGA-73-4659	195	28	16	30	5
TCGA-73-4662	156	45	24	31	21
TCGA-73-4666	271	83	31	50	52
