Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-50-5932	8.28E-01	5.62E-01	3.06E-01	5.19E-01	4.40E-01
TCGA-50-5933	2.53E+00	1.47E+00	1.32E+00	1.65E+00	2.09E+00
TCGA-50-5935	7.24E-01	0.00E+00	8.10E-01	9.96E-01	1.06E+00
TCGA-50-5936	8.60E-01	3.45E-01	9.52E-01	7.33E-01	1.05E+00
TCGA-50-5939	7.70E-01	2.24E-01	6.55E-01	7.51E-01	1.04E+00
TCGA-50-5941	2.37E+00	1.18E+00	9.18E-01	1.32E+00	2.30E+00
TCGA-50-5942	7.66E-01	3.57E-01	1.92E-01	6.04E-01	7.63E-01
TCGA-50-5944	6.62E-01	2.45E-01	4.69E-01	9.19E-01	7.36E-01
TCGA-50-5946	4.39E+00	2.30E+00	2.73E+00	3.39E+00	5.29E+00
TCGA-50-6590	3.63E+00	1.95E+00	2.11E+00	1.16E+00	2.74E+00
TCGA-50-6591	6.31E-01	3.21E-01	4.30E-01	7.63E-01	7.81E-01
TCGA-50-6592	1.89E+00	7.84E-01	1.09E+00	1.20E+00	1.89E+00
TCGA-50-6593	1.98E+00	1.02E+00	7.55E-01	1.35E+00	2.29E+00
TCGA-50-6594	2.25E+00	1.50E+00	1.06E+00	1.13E+00	1.88E+00
TCGA-50-6595	1.04E+00	4.01E-01	7.69E-01	8.60E-01	1.06E+00
TCGA-50-6597	4.84E-01	1.08E-01	5.68E-01	8.94E-01	8.33E-01
TCGA-50-6673	1.34E-01	5.23E-01	4.21E-01	8.10E-01	8.16E-01
TCGA-50-7109	1.63E+00	7.87E-01	5.75E-01	1.27E+00	1.40E+00
TCGA-50-8457	7.46E-01	3.35E-01	4.23E-01	6.74E-01	7.23E-01
TCGA-50-8459	8.62E-01	5.35E-01	4.00E-01	7.10E-01	7.54E-01
TCGA-50-8460	1.10E-01	1.93E-01	3.41E-01	5.57E-01	5.70E-01
TCGA-53-7624	2.98E+00	1.78E+00	1.78E+00	1.71E+00	2.40E+00
TCGA-53-7626	3.10E+00	2.89E+00	1.07E+00	4.47E-01	1.46E+00
TCGA-53-7813	1.17E+00	6.13E-01	3.13E-01	7.70E-01	1.10E+00
TCGA-53-A4EZ	2.69E+00	1.49E+00	9.52E-01	1.35E+00	2.24E+00
TCGA-55-1592	3.12E+00	1.24E+00	1.50E+00	2.42E+00	3.75E+00
TCGA-55-1594	1.33E+00	4.55E-01	1.10E+00	1.14E+00	1.35E+00
TCGA-55-1595	2.21E+00	1.19E+00	7.01E-01	1.02E+00	1.72E+00
TCGA-55-1596	1.70E+00	8.00E-01	5.07E-01	1.31E+00	1.85E+00
TCGA-55-5899	2.29E+00	1.21E+00	1.47E+00	1.45E+00	1.98E+00
TCGA-55-6543	1.01E-01	1.33E-01	2.12E-01	3.55E-01	3.42E-01
TCGA-55-6642	1.02E+00	8.74E-01	4.97E-01	8.22E-01	7.08E-01
TCGA-55-6712	9.03E-01	4.86E-01	9.96E-01	9.51E-01	9.01E-01
TCGA-55-6968	2.05E+00	8.12E-01	2.66E+00	7.85E-01	2.42E+00
TCGA-55-6969	2.53E+00	1.30E+00	9.53E-01	1.16E+00	2.50E+00
TCGA-55-6970	1.37E+00	7.78E-01	5.47E-01	8.92E-01	1.11E+00
TCGA-55-6971	1.41E+00	9.81E-01	4.07E-01	6.78E-01	8.43E-01
TCGA-55-6972	1.52E+00	9.27E-01	1.74E+00	1.02E+00	1.59E+00
TCGA-55-6975	8.68E-01	4.55E-01	4.73E-01	7.90E-01	7.75E-01
TCGA-55-6978	3.49E-01	4.22E-01	0.00E+00	6.00E-01	6.01E-01
TCGA-55-6979	1.76E+00	1.73E+00	9.73E-01	0.00E+00	5.88E-01
TCGA-55-6980	2.62E-01	3.17E-01	8.57E-02	4.99E-01	4.92E-01
TCGA-55-6981	2.00E-02	8.28E-01	4.01E-01	7.20E-01	4.82E-01
TCGA-55-6982	4.80E-01	6.09E-01	1.47E+00	1.08E+00	1.50E+00
TCGA-55-6983	1.36E+00	6.70E-01	3.95E-01	1.00E+00	1.07E+00
TCGA-55-6984	5.90E-01	5.01E-01	1.63E-01	5.58E-01	3.27E-01
TCGA-55-6985	2.76E+00	1.48E+00	7.15E-01	1.41E+00	2.56E+00
TCGA-55-6986	2.69E-01	2.60E-01	1.78E-01	4.78E-01	1.74E-01
TCGA-55-6987	1.54E+00	9.15E-01	1.06E+00	7.41E-01	1.12E+00
TCGA-55-7227	1.26E+00	6.72E-01	4.95E-01	8.89E-01	1.28E+00
TCGA-55-7281	3.90E+00	1.93E+00	1.33E+00	2.26E+00	4.35E+00
TCGA-55-7283	2.18E+00	1.18E+00	1.58E+00	2.68E+00	2.19E+00
TCGA-55-7284	1.38E-01	0.00E+00	1.47E-01	7.16E-01	6.72E-01
TCGA-55-7570	3.01E+00	1.51E+00	1.65E+00	2.08E+00	3.53E+00
TCGA-55-7573	7.47E-01	3.24E-01	4.18E-01	5.62E-01	7.31E-01
TCGA-55-7574	2.54E+00	1.00E+00	1.92E+00	1.26E+00	2.40E+00
TCGA-55-7576	3.03E+00	1.53E+00	1.36E+00	2.96E+00	3.51E+00
TCGA-55-7724	1.85E+00	7.53E-01	9.43E-01	1.37E+00	1.85E+00
TCGA-55-7725	1.17E+00	7.48E-01	3.77E-01	7.17E-01	1.18E+00
TCGA-55-7726	7.12E-01	3.13E-01	8.44E-01	8.07E-01	7.99E-01
TCGA-55-7727	1.41E+00	7.15E-01	1.40E+00	1.09E+00	1.66E+00
TCGA-55-7728	8.42E-01	6.00E-01	3.36E-01	6.09E-01	3.12E-01
TCGA-55-7815	1.46E+00	6.49E-01	4.93E-01	8.55E-01	1.02E+00
TCGA-55-7816	0.00E+00	0.00E+00	2.00E-02	2.00E-02	0.00E+00
TCGA-55-7903	1.15E+00	7.14E-01	8.03E-01	9.99E-01	1.28E+00
TCGA-55-7907	3.33E+00	2.04E+00	1.93E+00	1.87E+00	3.42E+00
TCGA-55-7910	1.61E+00	1.09E+00	6.15E-01	1.26E+00	1.17E+00
TCGA-55-7911	1.47E+00	7.60E-01	7.71E-01	1.04E+00	1.33E+00
TCGA-55-7913	1.98E+00	1.08E+00	1.03E+00	1.26E+00	1.45E+00
TCGA-55-7914	1.28E+00	6.13E-01	6.17E-01	1.05E+00	1.41E+00
TCGA-55-7994	4.40E+00	2.74E+00	1.82E+00	2.73E+00	5.03E+00
TCGA-55-7995	2.75E+00	1.47E+00	1.38E+00	1.61E+00	2.59E+00
TCGA-55-8085	1.50E+00	8.00E-01	1.35E+00	1.09E+00	1.18E+00
TCGA-55-8087	3.51E-01	1.40E-01	4.44E-01	5.67E-01	3.76E-01
TCGA-55-8089	3.16E+00	1.96E+00	3.30E+00	1.83E+00	3.10E+00
TCGA-55-8090	1.11E+00	5.44E-01	3.73E-01	7.53E-01	1.10E+00
TCGA-55-8091	4.76E-01	0.00E+00	1.13E-01	5.05E-01	2.95E-01
TCGA-55-8092	2.29E+00	1.39E+00	2.08E+00	1.83E+00	2.25E+00
TCGA-55-8094	2.13E+00	1.36E+00	7.60E-01	1.55E+00	1.68E+00
TCGA-55-8096	1.10E+00	5.26E-01	6.00E-01	7.97E-01	8.01E-01
TCGA-55-8097	9.27E-01	5.42E-01	5.27E-01	9.03E-01	9.50E-01
TCGA-55-8203	2.03E+00	1.27E+00	6.70E-01	1.25E+00	1.29E+00
TCGA-55-8204	1.47E+00	5.12E-01	1.24E+00	1.08E+00	1.09E+00
TCGA-55-8205	2.39E+00	1.14E+00	1.73E+00	1.01E+00	1.77E+00
TCGA-55-8206	4.48E-01	1.52E-01	3.66E-01	5.70E-01	5.39E-01
TCGA-55-8207	1.98E+00	9.18E-01	6.75E-01	1.38E+00	2.28E+00
TCGA-55-8208	1.91E+00	6.83E-01	1.48E+00	1.24E+00	2.00E+00
TCGA-55-8299	2.47E+00	1.27E+00	9.02E-01	1.38E+00	2.31E+00
TCGA-55-8301	1.92E+00	1.03E+00	8.15E-01	1.10E+00	1.76E+00
TCGA-55-8302	2.75E+00	1.54E+00	1.05E+00	1.79E+00	2.77E+00
TCGA-55-8505	3.71E-01	3.62E-02	4.56E-01	6.25E-01	6.37E-01
TCGA-55-8506	4.09E+00	2.59E+00	1.46E+00	4.89E+00	4.43E+00
TCGA-55-8507	3.61E+00	2.35E+00	1.34E+00	1.99E+00	2.85E+00
TCGA-55-8508	1.45E+00	8.44E-01	6.71E-01	1.07E+00	1.18E+00
TCGA-55-8510	1.89E+00	1.23E+00	9.16E-01	1.05E+00	1.45E+00
TCGA-55-8511	2.63E+00	1.57E+00	1.42E+00	1.58E+00	1.97E+00
TCGA-55-8512	7.03E-01	3.24E-01	2.94E-01	5.78E-01	5.93E-01
TCGA-55-8513	1.97E-02	0.00E+00	1.41E-02	1.99E-01	1.95E-01
TCGA-55-8514	1.69E+00	1.07E+00	5.89E-01	1.25E+00	1.51E+00
TCGA-55-8614	1.39E+00	5.61E-01	7.78E-01	1.65E+00	2.26E+00
TCGA-55-8615	1.18E+00	4.68E-01	3.97E-01	8.51E-01	1.28E+00
TCGA-55-8616	2.23E+00	1.69E+00	7.66E-01	1.24E+00	1.22E+00
TCGA-55-8619	2.98E-01	7.53E-02	1.35E-01	3.27E-01	2.94E-01
TCGA-55-8620	2.58E+00	1.38E+00	7.39E-01	1.70E+00	2.69E+00
TCGA-55-8621	9.92E-01	4.04E-01	4.44E-01	7.75E-01	9.49E-01
TCGA-55-A48X	2.00E+00	1.18E+00	9.61E-01	1.18E+00	1.27E+00
TCGA-55-A48Y	7.35E-01	4.12E-01	2.29E+00	1.12E+00	2.33E+00
TCGA-55-A48Z	6.72E-01	2.08E-01	3.27E-01	6.41E-01	6.24E-01
TCGA-55-A490	4.01E+00	2.74E+00	1.69E+00	1.57E+00	2.86E+00
TCGA-55-A491	2.45E+00	1.35E+00	8.68E-01	1.27E+00	2.11E+00
TCGA-55-A492	2.01E+00	9.90E-01	6.84E-01	1.44E+00	1.79E+00
TCGA-55-A493	1.37E+00	6.66E-01	1.15E+00	1.01E+00	1.35E+00
TCGA-55-A494	1.41E+00	7.92E-01	6.27E-01	1.12E+00	9.01E-01
TCGA-55-A4DF	2.19E+00	1.09E+00	3.95E+00	1.75E+00	3.78E+00
TCGA-55-A4DG	3.01E+00	1.98E+00	8.95E-01	1.54E+00	2.85E+00
TCGA-55-A57B	5.16E-01	1.88E-01	4.50E-01	6.66E-01	5.76E-01
TCGA-62-8394	9.75E-01	4.42E-01	8.38E-01	1.02E+00	1.46E+00
TCGA-62-8395	4.16E-01	1.83E-01	6.58E-01	9.18E-01	8.01E-01
TCGA-62-8397	4.62E-01	1.74E-01	1.96E-01	4.10E-01	4.94E-01
TCGA-62-8398	8.98E-01	4.00E-01	4.55E-01	9.21E-01	9.18E-01
TCGA-62-8399	2.03E+00	1.34E+00	1.46E+00	1.44E+00	1.51E+00
TCGA-62-8402	6.40E-01	2.00E-02	4.46E-01	8.13E-01	7.26E-01
TCGA-62-A46O	3.31E+00	1.95E+00	1.76E+00	1.87E+00	2.63E+00
TCGA-62-A46P	1.73E+00	1.12E+00	5.77E-01	1.16E+00	1.16E+00
TCGA-62-A46R	1.17E+00	6.76E-01	7.78E-01	1.25E+00	1.48E+00
TCGA-62-A46S	1.18E+00	6.29E-01	6.24E-01	9.81E-01	1.14E+00
TCGA-62-A46U	5.91E-01	1.65E-01	3.45E-01	5.70E-01	4.47E-01
TCGA-62-A46V	5.68E-01	2.10E-01	4.04E-01	8.64E-01	8.73E-01
TCGA-62-A46Y	3.42E-01	0.00E+00	2.20E-01	7.87E-01	7.28E-01
TCGA-62-A470	1.15E+00	4.69E-01	4.98E-01	1.20E+00	8.18E-01
TCGA-62-A471	1.35E-01	3.51E-01	9.44E-01	7.94E-01	9.11E-01
TCGA-62-A472	7.97E-01	3.04E-01	2.93E-01	7.25E-01	9.98E-01
TCGA-64-1676	2.57E+00	1.56E+00	8.53E-01	1.23E+00	2.15E+00
TCGA-64-1677	1.34E+00	6.06E-01	1.17E+00	9.05E-01	1.29E+00
TCGA-64-1679	1.92E+00	1.36E+00	9.97E-01	8.71E-01	1.31E+00
TCGA-64-1680	5.00E-01	1.00E-02	7.39E-01	8.55E-01	5.10E-01
TCGA-64-1681	5.91E-01	1.49E-01	6.95E-01	1.03E+00	1.15E+00
TCGA-64-5774	1.17E+00	7.71E-01	5.00E-01	7.31E-01	9.05E-01
TCGA-64-5775	2.77E+00	1.33E+00	8.41E-01	1.60E+00	2.36E+00
