NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
38	172.778	63.723	26.288	48.821	0.452	0.775	30000.0
39	172.834	63.615	26.321	48.917	0.453	0.774	40000.0
40	173.741	63.265	26.459	48.573	0.45	0.779	70000.0
41	173.737	63.437	26.422	48.815	0.448	0.777	50000.0
42	172.85	63.683	26.342	48.829	0.454	0.775	50000.0
43	174.425	63.75	26.622	49.06	0.453	0.773	40000.0
44	173.933	63.457	26.571	48.801	0.452	0.777	40000.0
45	173.654	63.77	26.48	48.905	0.451	0.776	40000.0
46	174.304	63.807	26.558	49.002	0.452	0.775	50000.0
47	173.68	63.68	26.616	49.126	0.452	0.773	50000.0
48	173.443	63.637	26.523	49.045	0.458	0.773	30000.0
49	174.407	63.573	26.653	48.95	0.453	0.776	50000.0
50	171.77	63.126	26.297	48.642	0.446	0.779	40000.0
51	173.297	63.589	26.425	48.808	0.455	0.776	80000.0
52	173.57	63.663	26.296	48.763	0.453	0.776	40000.0
53	174.056	63.195	26.681	48.73	0.444	0.778	30000.0
54	173.694	63.415	26.572	48.776	0.451	0.777	50000.0
55	172.388	63.142	26.181	48.487	0.448	0.779	30000.0
56	172.864	63.124	26.33	48.389	0.447	0.782	20000.0
57	173.712	63.871	26.509	49.076	0.458	0.772	40000.0
58	172.243	63.215	26.238	48.616	0.449	0.779	40000.0
59	173.056	63.072	26.371	48.602	0.446	0.778	50000.0
60	173.056	63.639	26.394	48.92	0.453	0.776	40000.0
61	174.45	63.725	26.681	49.05	0.448	0.776	60000.0
62	173.361	63.577	26.334	48.603	0.453	0.778	30000.0
63	173.752	63.383	26.523	48.613	0.446	0.78	50000.0
64	174.222	63.622	26.526	48.899	0.452	0.777	70000.0
65	173.971	63.509	26.304	48.834	0.448	0.775	70000.0
66	172.722	63.497	26.31	48.791	0.457	0.774	40000.0
67	174.579	63.582	26.556	48.82	0.452	0.776	20000.0
68	173.551	63.327	26.551	48.819	0.447	0.776	40000.0
69	173.253	63.608	26.306	48.748	0.452	0.776	70000.0
70	173.882	63.491	26.319	48.72	0.45	0.776	70000.0
71	173.045	63.29	26.282	48.511	0.448	0.779	60000.0
72	172.514	63.212	26.201	48.535	0.447	0.779	40000.0
73	173.238	62.985	26.297	48.603	0.444	0.779	80000.0
74	172.503	63.075	26.227	48.447	0.446	0.78	50000.0
75	172.31	63.379	26.317	48.718	0.452	0.776	50000.0
76	172.491	63.111	26.325	48.678	0.452	0.778	40000.0
77	173.043	63.366	26.418	48.679	0.448	0.779	30000.0
78	173.389	62.995	26.479	48.61	0.444	0.78	80000.0
79	172.54	63.463	26.189	48.666	0.449	0.777	50000.0
80	172.083	63.015	26.182	48.462	0.446	0.778	50000.0
81	173.811	63.643	26.614	48.793	0.453	0.778	90000.0
82	172.669	63.267	26.497	48.66	0.45	0.777	30000.0
83	173.412	63.147	26.182	48.365	0.442	0.781	70000.0
84	173.946	63.569	26.505	48.764	0.449	0.777	40000.0
85	173.384	63.553	26.565	49.081	0.452	0.774	50000.0
86	173.57	63.377	26.591	48.86	0.448	0.778	40000.0
87	172.662	63.184	26.364	48.765	0.447	0.777	40000.0
88	173.181	63.314	26.452	48.617	0.45	0.78	30000.0
89	172.555	63.26	26.346	48.768	0.448	0.777	60000.0
90	173.618	63.651	26.443	48.813	0.452	0.776	30000.0
91	174.308	63.556	26.681	48.842	0.451	0.777	50000.0
92	172.764	63.27	26.298	48.575	0.446	0.779	50000.0
93	172.601	63.268	26.359	48.795	0.448	0.776	50000.0
94	172.534	63.238	26.353	48.652	0.445	0.78	50000.0
95	173.544	63.501	26.561	48.85	0.449	0.777	30000.0
96	173.845	63.567	26.372	48.666	0.445	0.779	50000.0
97	173.34	63.753	26.417	48.925	0.453	0.776	40000.0
98	173.074	63.316	26.352	48.707	0.448	0.779	60000.0
99	172.859	63.311	26.337	48.681	0.451	0.777	70000.0
100	172.613	63.172	26.265	48.535	0.445	0.781	70000.0
