Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-55-7284	0	0	0	57
TCGA-55-7570	518	93	253	100
TCGA-55-7573	30	7	13	15
TCGA-55-7574	237	47	348	29
TCGA-55-7576	507	178	77	260
TCGA-55-7724	97	23	55	110
TCGA-55-7725	93	25	6	32
TCGA-55-7726	5	6	87	44
TCGA-55-7727	98	35	129	56
TCGA-55-7728	53	23	3	43
TCGA-55-7815	104	21	13	46
TCGA-55-7816	0	0	0	2
TCGA-55-7903	34	37	31	87
TCGA-55-7907	841	267	283	70
TCGA-55-7910	208	74	15	73
TCGA-55-7911	167	38	30	47
TCGA-55-7913	235	66	54	81
TCGA-55-7914	81	31	29	73
TCGA-55-7994	1149	405	135	210
TCGA-55-7995	501	105	148	75
TCGA-55-8085	102	32	136	61
TCGA-55-8087	1	1	8	30
TCGA-55-8089	744	211	517	84
TCGA-55-8090	51	19	6	37
TCGA-55-8091	5	0	0	33
TCGA-55-8092	270	109	190	158
TCGA-55-8094	325	122	35	79
TCGA-55-8096	105	16	18	40
TCGA-55-8097	23	23	15	81
TCGA-55-8203	336	99	11	90
TCGA-55-8204	96	13	106	55
TCGA-55-8205	292	69	244	43
TCGA-55-8206	5	2	7	24
TCGA-55-8207	201	75	23	89
TCGA-55-8208	138	18	243	47
TCGA-55-8299	331	83	39	63
TCGA-55-8301	210	48	41	63
TCGA-55-8302	581	147	42	78
TCGA-55-8505	3	0	16	29
TCGA-55-8506	661	351	0	1111
TCGA-55-8507	777	244	61	137
TCGA-55-8508	113	33	21	62
TCGA-55-8510	233	84	44	34
TCGA-55-8511	383	122	114	96
TCGA-55-8512	20	7	7	18
TCGA-55-8513	0	0	0	9
TCGA-55-8514	198	64	13	78
TCGA-55-8614	110	14	44	132
TCGA-55-8615	86	15	9	54
TCGA-55-8616	373	126	22	86
TCGA-55-8619	0	1	0	26
TCGA-55-8620	335	112	28	143
TCGA-55-8621	44	10	11	24
TCGA-55-A48X	335	76	44	30
TCGA-55-A48Y	0	5	402	39
TCGA-55-A48Z	20	2	6	40
TCGA-55-A490	1049	359	160	85
TCGA-55-A491	258	86	48	75
TCGA-55-A492	205	47	26	80
TCGA-55-A493	159	31	102	48
TCGA-55-A494	139	42	16	102
TCGA-55-A4DF	158	48	705	73
TCGA-55-A4DG	538	187	38	85
TCGA-55-A57B	4	2	9	34
TCGA-62-8394	36	12	62	65
TCGA-62-8395	4	3	21	62
TCGA-62-8397	7	1	2	22
TCGA-62-8398	39	11	12	42
TCGA-62-8399	227	75	274	86
TCGA-62-8402	10	0	7	57
TCGA-62-A46O	583	189	204	119
TCGA-62-A46P	205	74	8	67
TCGA-62-A46R	72	26	37	74
TCGA-62-A46S	44	29	19	68
TCGA-62-A46U	12	1	7	32
TCGA-62-A46V	8	2	7	54
TCGA-62-A46Y	10	0	1	29
TCGA-62-A470	48	13	13	73
TCGA-62-A471	4	6	91	47
TCGA-62-A472	21	8	8	35
TCGA-64-1676	490	147	31	74
TCGA-64-1677	76	22	114	55
TCGA-64-1679	455	93	69	19
TCGA-64-1680	10	0	30	38
TCGA-64-1681	23	0	44	39
TCGA-64-5774	88	35	8	45
TCGA-64-5775	339	138	33	82
TCGA-64-5778	375	99	54	56
TCGA-64-5779	226	110	20	82
TCGA-64-5781	867	239	215	96
TCGA-64-5815	121	36	8	49
TCGA-67-3770	160	50	13	50
TCGA-67-3771	539	180	456	162
TCGA-67-3772	14	0	7	58
TCGA-67-3773	63	23	6	36
TCGA-67-3774	89	14	15	33
TCGA-67-4679	249	50	20	46
TCGA-67-6215	18	2	19	98
TCGA-67-6216	1	4	18	24
TCGA-67-6217	111	46	18	64
TCGA-69-7760	22	2	10	54
TCGA-69-7761	17	1	3	15
TCGA-69-7763	13	14	2	73
TCGA-69-7764	53	6	10	48
TCGA-69-7765	460	153	103	39
TCGA-69-7973	169	74	18	50
TCGA-69-7974	364	127	50	105
TCGA-69-7978	371	108	247	47
TCGA-69-7979	1169	410	129	100
TCGA-69-7980	502	158	242	75
TCGA-69-8253	112	25	39	34
TCGA-69-8254	37	5	3	52
TCGA-69-8255	155	48	66	98
TCGA-69-A59K	359	129	58	91
TCGA-71-6725	3	7	6	65
TCGA-71-8520	13	6	20	66
TCGA-73-4658	139	51	189	70
TCGA-73-4659	193	30	15	36
TCGA-73-4662	162	47	25	43
TCGA-73-4666	287	87	36	77
TCGA-73-4668	464	93	22	71
TCGA-73-4670	217	90	46	99
TCGA-73-4675	9	16	9	51
TCGA-73-4676	43	8	6	57
TCGA-73-4677	180	53	23	55
TCGA-73-7498	62	24	3	52
TCGA-73-7499	13	1	22	49
TCGA-73-A9RS	762	259	104	49
TCGA-75-5122	48	16	37	67
TCGA-75-5125	89	13	57	56
TCGA-75-5126	429	113	240	36
TCGA-75-5146	150	53	19	17
TCGA-75-5147	0	1	13	33
TCGA-75-6203	0	1	0	18
TCGA-75-6205	14	5	15	28
TCGA-75-6206	64	6	22	17
TCGA-75-6207	17	3	20	44
TCGA-75-6211	297	71	29	63
TCGA-75-6212	0	1	3	19
TCGA-75-6214	431	129	246	97
TCGA-75-7025	0	2	7	34
TCGA-75-7027	206	47	15	45
TCGA-75-7030	1	2	0	16
TCGA-75-7031	142	21	31	72
TCGA-78-7145	153	44	23	38
TCGA-78-7146	204	87	140	74
TCGA-78-7147	199	58	76	105
TCGA-78-7148	139	58	18	74
TCGA-78-7149	39	12	113	36
