Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-62-8394	9.76E-01	4.19E-01	8.31E-01	1.03E+00
TCGA-62-8395	4.79E-01	1.88E-01	6.80E-01	7.36E-01
TCGA-62-8397	4.37E-01	1.77E-01	2.12E-01	4.14E-01
TCGA-62-8398	8.80E-01	3.98E-01	4.50E-01	8.65E-01
TCGA-62-8399	1.95E+00	1.35E+00	1.51E+00	1.60E+00
TCGA-62-8402	6.21E-01	2.00E-02	4.60E-01	6.42E-01
TCGA-62-A46O	3.00E+00	2.01E+00	1.51E+00	2.26E+00
TCGA-62-A46P	1.65E+00	1.16E+00	5.85E-01	1.24E+00
TCGA-62-A46R	1.16E+00	6.89E-01	7.15E-01	1.14E+00
TCGA-62-A46S	1.11E+00	6.35E-01	6.15E-01	1.01E+00
TCGA-62-A46U	5.72E-01	1.78E-01	3.70E-01	6.56E-01
TCGA-62-A46V	5.88E-01	2.19E-01	4.28E-01	7.39E-01
TCGA-62-A46Y	3.57E-01	1.00E-02	2.18E-01	4.16E-01
TCGA-62-A470	1.10E+00	4.84E-01	5.13E-01	1.14E+00
TCGA-62-A471	3.29E-01	3.61E-01	9.09E-01	8.12E-01
TCGA-62-A472	6.67E-01	2.94E-01	3.07E-01	6.99E-01
TCGA-64-1676	2.45E+00	1.61E+00	8.26E-01	1.47E+00
TCGA-64-1677	1.25E+00	6.03E-01	1.16E+00	1.02E+00
TCGA-64-1679	1.82E+00	1.40E+00	9.32E-01	9.75E-01
TCGA-64-1680	5.18E-01	1.00E-02	7.27E-01	7.88E-01
TCGA-64-1681	6.42E-01	1.48E-01	6.71E-01	8.48E-01
TCGA-64-5774	1.12E+00	8.03E-01	5.12E-01	8.20E-01
TCGA-64-5775	2.16E+00	1.34E+00	8.66E-01	1.60E+00
TCGA-64-5778	2.07E+00	1.48E+00	8.08E-01	1.53E+00
TCGA-64-5779	1.65E+00	1.25E+00	7.31E-01	1.19E+00
TCGA-64-5781	3.07E+00	2.14E+00	1.98E+00	1.92E+00
TCGA-64-5815	1.28E+00	8.45E-01	4.78E-01	9.72E-01
TCGA-67-3770	1.37E+00	9.15E-01	5.25E-01	1.19E+00
TCGA-67-3771	3.53E+00	1.88E+00	2.51E+00	2.81E+00
TCGA-67-3772	7.73E-01	1.07E-01	5.14E-01	8.40E-01
TCGA-67-3773	8.18E-01	5.03E-01	3.11E-01	8.11E-01
TCGA-67-3774	1.09E+00	4.81E-01	4.89E-01	9.56E-01
TCGA-67-4679	1.60E+00	8.60E-01	6.51E-01	1.15E+00
TCGA-67-6215	5.37E-02	1.50E-01	4.06E-01	4.33E-01
TCGA-67-6216	3.44E-01	1.92E-01	4.03E-01	4.92E-01
TCGA-67-6217	1.35E+00	1.01E+00	6.39E-01	1.18E+00
TCGA-69-7760	5.86E-01	1.40E-01	4.63E-01	6.72E-01
TCGA-69-7761	5.12E-01	1.78E-01	1.88E-01	5.11E-01
TCGA-69-7763	8.65E-01	4.77E-01	2.32E-01	8.64E-01
TCGA-69-7764	9.54E-01	4.06E-01	4.32E-01	8.55E-01
TCGA-69-7765	2.43E+00	1.57E+00	1.30E+00	1.55E+00
TCGA-69-7973	1.51E+00	1.09E+00	6.98E-01	9.82E-01
TCGA-69-7974	2.14E+00	1.41E+00	8.57E-01	1.70E+00
TCGA-69-7978	1.86E+00	1.33E+00	1.58E+00	1.44E+00
TCGA-69-7979	3.95E+00	3.32E+00	1.52E+00	2.14E+00
TCGA-69-7980	2.87E+00	1.78E+00	1.70E+00	2.13E+00
TCGA-69-8253	9.99E-01	6.95E-01	7.49E-01	8.85E-01
TCGA-69-8254	8.89E-01	3.21E-01	2.39E-01	9.11E-01
TCGA-69-8255	1.62E+00	9.50E-01	9.70E-01	1.53E+00
TCGA-69-A59K	2.42E+00	1.87E+00	1.04E+00	1.40E+00
TCGA-71-6725	4.17E-01	3.43E-01	4.35E-01	6.22E-01
TCGA-71-8520	7.44E-01	3.60E-01	5.18E-01	7.90E-01
TCGA-73-4658	1.46E+00	9.77E-01	1.53E+00	1.34E+00
TCGA-73-4659	1.35E+00	7.94E-01	6.48E-01	1.12E+00
TCGA-73-4662	1.40E+00	7.46E-01	7.27E-01	1.25E+00
TCGA-73-4666	1.85E+00	1.24E+00	7.51E-01	1.45E+00
TCGA-73-4668	2.13E+00	1.64E+00	7.80E-01	1.53E+00
TCGA-73-4670	1.84E+00	1.22E+00	9.38E-01	1.58E+00
TCGA-73-4675	6.19E-01	4.03E-01	3.59E-01	6.74E-01
TCGA-73-4676	9.36E-01	3.82E-01	3.35E-01	8.89E-01
