NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
32	189.263	68.065	29.478	51.638	0.496	0.752	30000.0
33	189.032	67.713	29.567	51.538	0.495	0.755	30000.0
34	188.444	68.41	29.547	51.896	0.505	0.749	20000.0
35	189.614	68.529	29.655	52.044	0.503	0.748	30000.0
36	189.002	68.006	29.703	51.798	0.503	0.75	30000.0
37	189.552	68.394	29.635	51.978	0.504	0.748	20000.0
38	188.877	68.202	29.554	51.887	0.5	0.749	20000.0
39	189.067	68.351	29.614	52.047	0.504	0.747	20000.0
40	190.258	68.223	29.862	51.91	0.502	0.75	20000.0
41	189.856	68.174	29.642	51.913	0.499	0.748	30000.0
42	189.461	68.417	29.598	51.96	0.504	0.748	30000.0
43	190.772	68.609	29.869	52.091	0.505	0.747	40000.0
44	189.505	68.428	29.749	52.026	0.505	0.749	30000.0
45	190.284	68.494	29.738	52.069	0.503	0.748	30000.0
46	190.733	68.832	29.877	52.251	0.506	0.746	20000.0
47	189.691	68.532	29.797	52.101	0.504	0.747	20000.0
48	189.123	68.277	29.678	52.026	0.504	0.748	20000.0
49	191.13	68.758	29.849	52.126	0.507	0.747	20000.0
50	187.885	68.003	29.448	51.681	0.496	0.753	20000.0
51	188.903	68.166	29.612	51.842	0.504	0.749	20000.0
52	188.872	69.206	29.064	53.058	0.535	0.718	20000.0
53	189.138	68.696	29.311	52.89	0.521	0.722	30000.0
54	190.275	68.322	29.781	51.933	0.502	0.749	20000.0
55	188.614	67.879	29.459	51.55	0.496	0.754	30000.0
56	189.182	68.041	29.543	51.511	0.5	0.755	20000.0
57	189.603	68.585	29.632	52.084	0.508	0.746	20000.0
58	188.994	67.933	29.528	51.661	0.498	0.753	30000.0
59	189.244	67.942	29.721	51.828	0.498	0.75	30000.0
60	189.374	68.453	29.549	51.926	0.503	0.75	40000.0
61	190.745	68.431	29.884	52.063	0.498	0.75	50000.0
62	189.417	68.585	29.597	51.965	0.506	0.749	20000.0
63	189.445	68.071	29.684	51.723	0.496	0.753	20000.0
64	190.131	68.422	29.616	51.88	0.504	0.75	30000.0
65	190.362	68.497	29.636	52.101	0.501	0.747	30000.0
66	189.144	68.363	29.641	51.911	0.506	0.747	20000.0
67	190.508	68.419	29.778	51.901	0.504	0.748	20000.0
68	189.243	68.22	29.689	51.863	0.497	0.75	20000.0
69	188.942	68.081	29.392	51.688	0.498	0.752	30000.0
70	189.611	68.053	29.538	51.754	0.5	0.75	50000.0
71	189.362	68.098	29.519	51.781	0.501	0.749	20000.0
72	188.843	68.255	29.432	51.932	0.504	0.747	40000.0
73	189.365	67.877	29.53	51.656	0.494	0.753	30000.0
74	188.339	67.902	29.389	51.503	0.498	0.753	30000.0
75	187.74	67.918	29.342	51.661	0.499	0.751	30000.0
76	188.594	67.884	29.642	51.807	0.503	0.75	30000.0
77	188.916	67.904	29.627	51.716	0.496	0.753	40000.0
78	189.687	67.908	29.752	51.82	0.494	0.753	50000.0
79	188.358	67.998	29.417	51.674	0.5	0.751	30000.0
80	187.584	67.8	29.277	51.548	0.498	0.751	20000.0
81	190.317	68.529	29.99	52.091	0.503	0.749	40000.0
82	189.033	68.548	29.758	51.991	0.505	0.748	20000.0
83	189.518	67.926	29.537	51.633	0.493	0.754	40000.0
84	190.326	68.572	29.74	52.056	0.501	0.748	40000.0
85	189.667	68.381	29.791	52.132	0.502	0.747	20000.0
86	189.327	69.081	29.362	53.509	0.53	0.718	20000.0
87	189.117	68.239	29.541	51.896	0.501	0.749	30000.0
88	189.657	68.275	29.586	51.791	0.502	0.752	20000.0
89	188.293	68.024	29.539	51.748	0.5	0.75	20000.0
90	189.889	68.356	29.649	51.835	0.501	0.749	30000.0
91	190.259	68.26	29.888	51.869	0.5	0.75	20000.0
92	189.16	68.178	29.524	51.691	0.497	0.751	30000.0
93	188.696	68.034	29.541	51.844	0.498	0.749	30000.0
94	189.348	67.849	29.621	51.683	0.493	0.754	20000.0
95	189.464	68.351	29.689	51.854	0.5	0.751	30000.0
96	189.827	68.307	29.585	51.781	0.497	0.752	30000.0
97	189.473	68.494	29.591	52.013	0.503	0.748	30000.0
98	188.681	67.66	29.489	51.63	0.496	0.753	20000.0
99	188.978	67.987	29.578	51.798	0.501	0.75	20000.0
100	188.578	67.922	29.523	51.708	0.497	0.752	40000.0
